#item,x,y,width,height,label
3348352839,80,207,25,32,1
2948714680,54,175,31,37,1
6476080089,69,153,53,54,1
8086950537,47,147,24,20,1
8949699468,126,152,14,14,1
9655474324,12,124,19,40,1
2823181740,26,107,71,51,1
5232847984,106,127,34,25,1
3526258851,72,65,26,50,1
1062182323,96,84,48,25,1
9506593676,38,88,34,18,1
1766983723,158,84,41,17,1
1537875034,131,40,54,27,1
2041257277,211,50,29,16,1
9930848800,56,42,34,14,1
9740910238,90,20,31,23,1
8211690584,172,22,36,11,1
3761449609,56,6,115,14,1
