#item,x,y,width,height,label
2564680531,96,232,12,17,6
3321341166,122,161,63,89,6
1979165845,62,180,18,21,6
9918402092,31,155,30,39,6
9826044864,159,119,53,48,6
1742037046,60,139,46,22,6
8536530157,18,93,62,53,6
6559189255,99,16,157,121,6
7427018575,73,110,26,18,6
9270406920,122,100,26,17,6
5730158416,58,68,33,25,6
2797322474,128,76,30,18,6
7034768622,13,70,32,19,6
9858365598,154,62,22,17,6
7297913335,16,38,49,33,6
6495223656,215,51,14,18,6
7219124664,232,35,21,22,6
3277674463,196,24,27,21,6
6840670332,136,3,21,24,6
