#item,x,y,width,height,label
2935980074,4,151,161,105,6
8803869593,36,146,20,22,6
3715473125,56,148,22,11,6
3430303477,115,142,18,13,6
7531605770,169,104,33,38,6
8065145737,23,109,34,29,6
1086368187,78,77,91,56,6
9657151929,60,105,18,13,6
6785545976,164,96,22,17,6
1815071765,38,86,58,19,6
2735622019,195,80,24,23,6
7315177126,47,47,56,32,6
1638456132,185,57,8,23,6
7770137636,192,44,40,33,6
7970652160,172,5,40,51,6
4706388403,96,14,29,19,6
1580309593,121,23,23,11,6
1423802064,140,10,34,10,6
