#item,x,y,width,height,label
3270488262,83,20,173,236,8
3169540819,78,198,30,28,8
2617572386,56,174,55,16,8
5951526166,129,157,22,31,8
1384016508,150,111,17,47,8
2613731550,124,129,20,22,8
7452258487,21,118,39,15,8
2912870279,127,77,29,26,8
2696226927,34,85,17,16,8
2823801548,48,76,22,21,8
3967341520,66,83,26,13,8
9226121982,89,82,33,14,8
3846423811,79,35,61,51,8
6653272343,22,48,51,35,8
2130644941,143,64,21,9,8
3157588811,65,44,27,10,8
3101142372,134,28,24,25,8
4442686763,49,0,207,40,8
7375130365,100,20,30,17,8
