#item,x,y,width,height,label
5845831893,105,208,15,24,10
8601062619,134,188,46,22,10
2972149452,76,165,32,41,10
5782499120,150,149,30,21,10
9143454785,124,143,23,10,10
2369650620,96,112,42,37,10
7731329386,115,123,25,21,10
1773713774,143,125,38,18,10
6344738545,141,112,41,13,10
1458710724,182,105,30,21,10
4035089077,71,87,35,24,10
2862461294,134,77,73,22,10
1055212722,57,65,48,26,10
4282676610,119,52,98,35,10
8826257128,36,43,71,43,10
4493256957,47,21,57,32,10
8563575692,141,37,34,14,10
2279417103,162,35,39,7,10
3471447148,119,8,119,29,10
