#item,x,y,width,height,label
6992693038,132,238,23,14,10
1069935681,160,216,16,19,10
9010343177,117,199,36,24,10
3420730039,134,188,24,19,10
5729155399,98,150,34,52,10
8579090293,130,124,41,73,10
5803107401,67,182,18,14,10
6963610260,180,160,38,30,10
1030305871,138,102,61,69,10
8020742753,84,130,17,35,10
4237674728,108,108,22,21,10
1987316156,24,107,44,16,10
5737245269,20,65,24,47,10
6237877737,138,75,51,25,10
7545133753,97,61,35,32,10
9586779512,86,54,24,23,10
1465969771,141,62,31,13,10
2807977074,42,46,58,19,10
9974900171,101,27,33,32,10
